SIG Question,Response,Standards Context
1281,"Does the organization permit group, shared, generic accounts, or other shared authentication credentials only when necessary?",No,"Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: 4.1 There must be documented procedures for creating, managing, and rescinding user accounts. At a minimum, these procedures should address:
· The eligibility criteria for obtaining an account
The processes for creating and managing accounts including the process for obtaining users' agreement regarding the acceptable use policy
· The processes for managing the retention of user account information
· The institution must, at least annually, audit user accounts with access to confidential data to confirm that the privileges granted to each user are appropriate.
All user account access to institutional information technology systems, including access for outside contractors, must be limited based on risk to the institution and the privileges needed to fulfill the institutional roles of the user
· As an individual's relationship to the institution changes, institutions must modify or remove access to systems and information as appropriate based on established processes.
4.2 Institutions must implement authentication and authorization processes that uniquely identify all users and appropriately control access to high-risk systems.
4.3 Prohibit group or shared IDs, unless they are documented as Functional IDs. Where possible, individual accounts should be used to provide accountability for administrative changes. Additionally, non-privileged accounts or roles need to be used when accessing non-administrative functions.; Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: 4.4 For systems utilizing authentication, institutions must implement session locking after an institutionally defined period of inactivity and retain the session lock until access is reestablished using established authentication and authorization procedures.
4.5 Users must adhere to institutional password usage, construction, and change requirements. Systems must comply with EITHER (4.5.a or 4.5.b) AND (4.5.c) below:
a. Meet the eAuth guidelines as outlined in 800-63-3B Section 5.1.1.2 Memorized Secret Authenticators;; Heading: II. IT Security Program Standard, Content: 2.17 When confidential data are shared with other institutions, the State, or federal agencies, that shared data should be managed with the security requirements determined to be the highest among the sharing institutions involved and approved by the institutional CIO or data steward (i.e. the member of the institution with responsibility for the data)."
1282,Does the organization TPSP(s) censure that service providers with remote access to customer premises use unique authentication factors for each customer premises?,Yes,"Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: 4.6 Institutions must either adopt a plan to implement multi-factor authentication (MFA) that includes consideration of high-risk systems and user access privileges, or have MFA in place for such systems.
4.7 The functions of system administration, programming, processing/authorizing business transactions, and security administration must be segregated for high-risk systems. This provides for the appropriate separation of duties. If not possible, compensating controls must be established to mitigate the risk.
4.8 Third party and/or vendor access to high-risk systems must be approved and controlled by the department(s) that directly manage the system or software being accessed.; Heading: IX. Third-Party/Cloud Technology Services Standard, Content: This Standard is intended for USM Institutions that choose to outsource technology services to third-party cloud providers; Heading: IX. Third-Party/Cloud Technology Services Standard, Content: in the contract. They must also reassess the risk of the cloud solution to ensure that the solution continues to provide adequate protection to institutional information assets."
1283,Does the organization limit the number of invalid authentication attempts by limiting locking out the user ID after not more than ten attempts and setting the lockout duration to a minimum of thirty minutes or until the user's identity is confirmed?,Yes,"Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: 4.4 For systems utilizing authentication, institutions must implement session locking after an institutionally defined period of inactivity and retain the session lock until access is reestablished using established authentication and authorization procedures.
4.5 Users must adhere to institutional password usage, construction, and change requirements. Systems must comply with EITHER (4.5.a or 4.5.b) AND (4.5.c) below:
a. Meet the eAuth guidelines as outlined in 800-63-3B Section 5.1.1.2 Memorized Secret Authenticators;; Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: b. Meet the following alternative requirements:
 Passwords must contain a mix of alphanumeric characters. Passwords must not consist of all digits, all special characters, or all alphabetic characters
 Minimum password length: 12 characters
 Automated controls must ensure that passwords are changed at least annually for general users, and at 90-day intervals for administrativelevel accounts
 User IDs associated with a password must be disabled for a period of time after not more than 6 consecutive failed login attempts. A minimum of 10 minutes is required for the reset period
c. Follow the following password management practices:
 Store and transmit only encrypted representation of passwords
 Password must not be the same as the user ID
 Password must not be displayed on screens
 Password reuse must be limited by not allowing the last 10 passwords to be reused. In addition, password age must be at least 2 days
 Initial passwords and password resets must be issued pre-expired forcing the user to change the password upon first use
 When a user password is reset or redistributed, the validation of the user identity must be at least as strong as when originally established
 Expired passwords must be changed before any other system activity is allowed; Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: NIST Special Publication 800-63-3 describes the Federal Electronic Authentication (eAuth) Guidelines. eAuth provides a methodology for creating flexible password requirements based upon operational needs and the risks that are present. The process of risk evaluation and how it applies to the selection of requirements can be found in the SP800-63-3 (or later) document."
1284,"Is the organization providing guidance to customer users who authenticate themselves using only passwords or passphrases to access cardholder data? The guidance should include information on when and under what circumstances the passwords or passphrases should be changed, and how frequently they should be changed to ensure the security of the user's account.",Yes,"Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: 4.4 For systems utilizing authentication, institutions must implement session locking after an institutionally defined period of inactivity and retain the session lock until access is reestablished using established authentication and authorization procedures.
4.5 Users must adhere to institutional password usage, construction, and change requirements. Systems must comply with EITHER (4.5.a or 4.5.b) AND (4.5.c) below:
a. Meet the eAuth guidelines as outlined in 800-63-3B Section 5.1.1.2 Memorized Secret Authenticators;; Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: b. Meet the following alternative requirements:
 Passwords must contain a mix of alphanumeric characters. Passwords must not consist of all digits, all special characters, or all alphabetic characters
 Minimum password length: 12 characters
 Automated controls must ensure that passwords are changed at least annually for general users, and at 90-day intervals for administrativelevel accounts
 User IDs associated with a password must be disabled for a period of time after not more than 6 consecutive failed login attempts. A minimum of 10 minutes is required for the reset period
c. Follow the following password management practices:
 Store and transmit only encrypted representation of passwords
 Password must not be the same as the user ID
 Password must not be displayed on screens
 Password reuse must be limited by not allowing the last 10 passwords to be reused. In addition, password age must be at least 2 days
 Initial passwords and password resets must be issued pre-expired forcing the user to change the password upon first use
 When a user password is reset or redistributed, the validation of the user identity must be at least as strong as when originally established
 Expired passwords must be changed before any other system activity is allowed; Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: NIST Special Publication 800-63-3 describes the Federal Electronic Authentication (eAuth) Guidelines. eAuth provides a methodology for creating flexible password requirements based upon operational needs and the risks that are present. The process of risk evaluation and how it applies to the selection of requirements can be found in the SP800-63-3 (or later) document."
1285,"Does the organization provide customers guidance on changing their user passwords every 90 days or dynamically analyze the security posture of accounts if passwords are the only means of authentication for customer user access, and restrict or grant real-time access to resources accordingly?",Yes,"Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: b. Meet the following alternative requirements:
 Passwords must contain a mix of alphanumeric characters. Passwords must not consist of all digits, all special characters, or all alphabetic characters
 Minimum password length: 12 characters
 Automated controls must ensure that passwords are changed at least annually for general users, and at 90-day intervals for administrativelevel accounts
 User IDs associated with a password must be disabled for a period of time after not more than 6 consecutive failed login attempts. A minimum of 10 minutes is required for the reset period
c. Follow the following password management practices:
 Store and transmit only encrypted representation of passwords
 Password must not be the same as the user ID
 Password must not be displayed on screens
 Password reuse must be limited by not allowing the last 10 passwords to be reused. In addition, password age must be at least 2 days
 Initial passwords and password resets must be issued pre-expired forcing the user to change the password upon first use
 When a user password is reset or redistributed, the validation of the user identity must be at least as strong as when originally established
 Expired passwords must be changed before any other system activity is allowed; Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: 4.1 There must be documented procedures for creating, managing, and rescinding user accounts. At a minimum, these procedures should address:
· The eligibility criteria for obtaining an account
The processes for creating and managing accounts including the process for obtaining users' agreement regarding the acceptable use policy
· The processes for managing the retention of user account information
· The institution must, at least annually, audit user accounts with access to confidential data to confirm that the privileges granted to each user are appropriate.
All user account access to institutional information technology systems, including access for outside contractors, must be limited based on risk to the institution and the privileges needed to fulfill the institutional roles of the user
· As an individual's relationship to the institution changes, institutions must modify or remove access to systems and information as appropriate based on established processes.
4.2 Institutions must implement authentication and authorization processes that uniquely identify all users and appropriately control access to high-risk systems.
4.3 Prohibit group or shared IDs, unless they are documented as Functional IDs. Where possible, individual accounts should be used to provide accountability for administrative changes. Additionally, non-privileged accounts or roles need to be used when accessing non-administrative functions.; Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: Considering the diverse computing environments at USM institutions, the following password requirements are dependent upon operational capabilities of a particular system. Systems which cannot meet the password requirements below must have a risk assessment in place accepted by the institution and should have mitigating controls in place."
1286,"Does the organization ensure authentication factors such as physical or logical security tokens, smart cards, or certificates are assigned to an individual user and not shared among multiple?",Yes,"Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: 4.6 Institutions must either adopt a plan to implement multi-factor authentication (MFA) that includes consideration of high-risk systems and user access privileges, or have MFA in place for such systems.
4.7 The functions of system administration, programming, processing/authorizing business transactions, and security administration must be segregated for high-risk systems. This provides for the appropriate separation of duties. If not possible, compensating controls must be established to mitigate the risk.
4.8 Third party and/or vendor access to high-risk systems must be approved and controlled by the department(s) that directly manage the system or software being accessed.; Heading: II. IT Security Program Standard, Content: 2.17 When confidential data are shared with other institutions, the State, or federal agencies, that shared data should be managed with the security requirements determined to be the highest among the sharing institutions involved and approved by the institutional CIO or data steward (i.e. the member of the institution with responsibility for the data).; Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: 4.4 For systems utilizing authentication, institutions must implement session locking after an institutionally defined period of inactivity and retain the session lock until access is reestablished using established authentication and authorization procedures.
4.5 Users must adhere to institutional password usage, construction, and change requirements. Systems must comply with EITHER (4.5.a or 4.5.b) AND (4.5.c) below:
a. Meet the eAuth guidelines as outlined in 800-63-3B Section 5.1.1.2 Memorized Secret Authenticators;"
1287,Does the organization ensure that only authorized users have access through physical or logical controls?,Yes,"Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: 4.1 There must be documented procedures for creating, managing, and rescinding user accounts. At a minimum, these procedures should address:
· The eligibility criteria for obtaining an account
The processes for creating and managing accounts including the process for obtaining users' agreement regarding the acceptable use policy
· The processes for managing the retention of user account information
· The institution must, at least annually, audit user accounts with access to confidential data to confirm that the privileges granted to each user are appropriate.
All user account access to institutional information technology systems, including access for outside contractors, must be limited based on risk to the institution and the privileges needed to fulfill the institutional roles of the user
· As an individual's relationship to the institution changes, institutions must modify or remove access to systems and information as appropriate based on established processes.
4.2 Institutions must implement authentication and authorization processes that uniquely identify all users and appropriately control access to high-risk systems.
4.3 Prohibit group or shared IDs, unless they are documented as Functional IDs. Where possible, individual accounts should be used to provide accountability for administrative changes. Additionally, non-privileged accounts or roles need to be used when accessing non-administrative functions.; Heading: VII. Physical Security Standard, Content: 7.1 Campuses must perform a risk assessment of the physical access controls which are in place protecting the IT facilities (such as server rooms, network closets, and wiring cabinets). Commensurate with this risk assessment, appropriate physical access controls must be in place, such as:
· Escorting any individual who is not authorized to operate independently and unescorted in these secure IT facilities and observing their activities at all times while in said facility.
· Maintaining a list of all employees and third parties who are authorized to operate independently and unescorted in secure IT facilities as defined in Section 7.1
· Ensuring that all portable storage media containing confidential information such as hard drives, flash drives, magnetic tapes, laptops, and CDs are physically secured
· Ensuring that proper environmental and physical controls are established to prevent accidental or unintentional loss of critical information residing on IT systems
· Ensuring that physical access devices are controlled and managed appropriately, and (commensurate with risk) that physical access is auditable.; Heading: X. Policy on Non-Institutionally-Owned Devices and Services, Content: Each institution must develop guidelines to govern the use of non-institutionally owned devices (such as personally owned laptops and other computing devices) and noninstitutionally purchased/controlled services (such as personally purchased file storage services) for access to institutional resources. These guidelines must address the following areas:"
1288,Does the organization utilize multi-factor authentication (MFA) to secure access to the Cardholder Data Environment (CDE)?,Yes,"Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: 4.6 Institutions must either adopt a plan to implement multi-factor authentication (MFA) that includes consideration of high-risk systems and user access privileges, or have MFA in place for such systems.
4.7 The functions of system administration, programming, processing/authorizing business transactions, and security administration must be segregated for high-risk systems. This provides for the appropriate separation of duties. If not possible, compensating controls must be established to mitigate the risk.
4.8 Third party and/or vendor access to high-risk systems must be approved and controlled by the department(s) that directly manage the system or software being accessed.; Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: 4.4 For systems utilizing authentication, institutions must implement session locking after an institutionally defined period of inactivity and retain the session lock until access is reestablished using established authentication and authorization procedures.
4.5 Users must adhere to institutional password usage, construction, and change requirements. Systems must comply with EITHER (4.5.a or 4.5.b) AND (4.5.c) below:
a. Meet the eAuth guidelines as outlined in 800-63-3B Section 5.1.1.2 Memorized Secret Authenticators;; Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: NIST Special Publication 800-63-3 describes the Federal Electronic Authentication (eAuth) Guidelines. eAuth provides a methodology for creating flexible password requirements based upon operational needs and the risks that are present. The process of risk evaluation and how it applies to the selection of requirements can be found in the SP800-63-3 (or later) document."
1289,Does the organization require multi-factor authentication (MFA) for all non-console access into the Cardholder Data Environment (CDE) by personnel with administrative privileges?,Yes,"Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: 4.6 Institutions must either adopt a plan to implement multi-factor authentication (MFA) that includes consideration of high-risk systems and user access privileges, or have MFA in place for such systems.
4.7 The functions of system administration, programming, processing/authorizing business transactions, and security administration must be segregated for high-risk systems. This provides for the appropriate separation of duties. If not possible, compensating controls must be established to mitigate the risk.
4.8 Third party and/or vendor access to high-risk systems must be approved and controlled by the department(s) that directly manage the system or software being accessed.; Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: 4.4 For systems utilizing authentication, institutions must implement session locking after an institutionally defined period of inactivity and retain the session lock until access is reestablished using established authentication and authorization procedures.
4.5 Users must adhere to institutional password usage, construction, and change requirements. Systems must comply with EITHER (4.5.a or 4.5.b) AND (4.5.c) below:
a. Meet the eAuth guidelines as outlined in 800-63-3B Section 5.1.1.2 Memorized Secret Authenticators;; Heading: II. IT Security Program Standard, Content: 2.12 USM institutions must develop acceptable use policies that address the responsible use of institutional computing resources, including electronic mail, network services, electronic documents, information, software, and other resources.
2.13 Each USM institution shall have personnel designated for providing official notices of IT incidents and advisories to the institutional user community. Only these personnel will send such messages.
2.14 Institutions must comply with the Digital Millennium Copyright Act and designate a single point of contact for inquiries about copyright violations.
2.15 Institutions must establish a policy and implement measures to protect Confidential Information from disclosure in conformance with applicable State of Maryland and federal laws. These include having an institutional acceptable use policy, not using confidential information as identifiers, and having an institutional confidentiality/non-disclosure policy or requiring non-disclosure agreements prior to granting employees access to confidential data."
1290,Is Multifactor authentication (MFA) implemented by the organization to prevent misuse?,Yes,"Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: 4.6 Institutions must either adopt a plan to implement multi-factor authentication (MFA) that includes consideration of high-risk systems and user access privileges, or have MFA in place for such systems.
4.7 The functions of system administration, programming, processing/authorizing business transactions, and security administration must be segregated for high-risk systems. This provides for the appropriate separation of duties. If not possible, compensating controls must be established to mitigate the risk.
4.8 Third party and/or vendor access to high-risk systems must be approved and controlled by the department(s) that directly manage the system or software being accessed.; Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: 4.4 For systems utilizing authentication, institutions must implement session locking after an institutionally defined period of inactivity and retain the session lock until access is reestablished using established authentication and authorization procedures.
4.5 Users must adhere to institutional password usage, construction, and change requirements. Systems must comply with EITHER (4.5.a or 4.5.b) AND (4.5.c) below:
a. Meet the eAuth guidelines as outlined in 800-63-3B Section 5.1.1.2 Memorized Secret Authenticators;; Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: NIST Special Publication 800-63-3 describes the Federal Electronic Authentication (eAuth) Guidelines. eAuth provides a methodology for creating flexible password requirements based upon operational needs and the risks that are present. The process of risk evaluation and how it applies to the selection of requirements can be found in the SP800-63-3 (or later) document."
1291,Does the organization implement multifactor authentication (MFA) systems that are resistant to replay attacks?,Yes,"Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: 4.6 Institutions must either adopt a plan to implement multi-factor authentication (MFA) that includes consideration of high-risk systems and user access privileges, or have MFA in place for such systems.
4.7 The functions of system administration, programming, processing/authorizing business transactions, and security administration must be segregated for high-risk systems. This provides for the appropriate separation of duties. If not possible, compensating controls must be established to mitigate the risk.
4.8 Third party and/or vendor access to high-risk systems must be approved and controlled by the department(s) that directly manage the system or software being accessed.; Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: 4.4 For systems utilizing authentication, institutions must implement session locking after an institutionally defined period of inactivity and retain the session lock until access is reestablished using established authentication and authorization procedures.
4.5 Users must adhere to institutional password usage, construction, and change requirements. Systems must comply with EITHER (4.5.a or 4.5.b) AND (4.5.c) below:
a. Meet the eAuth guidelines as outlined in 800-63-3B Section 5.1.1.2 Memorized Secret Authenticators;; Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: NIST Special Publication 800-63-3 describes the Federal Electronic Authentication (eAuth) Guidelines. eAuth provides a methodology for creating flexible password requirements based upon operational needs and the risks that are present. The process of risk evaluation and how it applies to the selection of requirements can be found in the SP800-63-3 (or later) document."
1292,"Does the organization require documented approval from management on an exception basis for a limited period for any users, including administrative users, to bypass Multifactor authentication (MFA) systems?",No,
1293,Does the organization implement multi-factor authentication (MFA) systems using at least two different types of authentication factors?,Yes,"Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: 4.6 Institutions must either adopt a plan to implement multi-factor authentication (MFA) that includes consideration of high-risk systems and user access privileges, or have MFA in place for such systems.
4.7 The functions of system administration, programming, processing/authorizing business transactions, and security administration must be segregated for high-risk systems. This provides for the appropriate separation of duties. If not possible, compensating controls must be established to mitigate the risk.
4.8 Third party and/or vendor access to high-risk systems must be approved and controlled by the department(s) that directly manage the system or software being accessed.; Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: 4.4 For systems utilizing authentication, institutions must implement session locking after an institutionally defined period of inactivity and retain the session lock until access is reestablished using established authentication and authorization procedures.
4.5 Users must adhere to institutional password usage, construction, and change requirements. Systems must comply with EITHER (4.5.a or 4.5.b) AND (4.5.c) below:
a. Meet the eAuth guidelines as outlined in 800-63-3B Section 5.1.1.2 Memorized Secret Authenticators;; Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: NIST Special Publication 800-63-3 describes the Federal Electronic Authentication (eAuth) Guidelines. eAuth provides a methodology for creating flexible password requirements based upon operational needs and the risks that are present. The process of risk evaluation and how it applies to the selection of requirements can be found in the SP800-63-3 (or later) document."
1294,Does the organization require all authentication factors before granting access through Multifactor authentication (MFA) systems?,Yes,"Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: 4.6 Institutions must either adopt a plan to implement multi-factor authentication (MFA) that includes consideration of high-risk systems and user access privileges, or have MFA in place for such systems.
4.7 The functions of system administration, programming, processing/authorizing business transactions, and security administration must be segregated for high-risk systems. This provides for the appropriate separation of duties. If not possible, compensating controls must be established to mitigate the risk.
4.8 Third party and/or vendor access to high-risk systems must be approved and controlled by the department(s) that directly manage the system or software being accessed.; Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: 4.4 For systems utilizing authentication, institutions must implement session locking after an institutionally defined period of inactivity and retain the session lock until access is reestablished using established authentication and authorization procedures.
4.5 Users must adhere to institutional password usage, construction, and change requirements. Systems must comply with EITHER (4.5.a or 4.5.b) AND (4.5.c) below:
a. Meet the eAuth guidelines as outlined in 800-63-3B Section 5.1.1.2 Memorized Secret Authenticators;; Heading: II. IT Security Program Standard, Content: 2.17 When confidential data are shared with other institutions, the State, or federal agencies, that shared data should be managed with the security requirements determined to be the highest among the sharing institutions involved and approved by the institutional CIO or data steward (i.e. the member of the institution with responsibility for the data)."
1295,Does the organization strictly manage the use of system accounts and associated authentication factors?,Yes,"Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: 4.1 There must be documented procedures for creating, managing, and rescinding user accounts. At a minimum, these procedures should address:
· The eligibility criteria for obtaining an account
The processes for creating and managing accounts including the process for obtaining users' agreement regarding the acceptable use policy
· The processes for managing the retention of user account information
· The institution must, at least annually, audit user accounts with access to confidential data to confirm that the privileges granted to each user are appropriate.
All user account access to institutional information technology systems, including access for outside contractors, must be limited based on risk to the institution and the privileges needed to fulfill the institutional roles of the user
· As an individual's relationship to the institution changes, institutions must modify or remove access to systems and information as appropriate based on established processes.
4.2 Institutions must implement authentication and authorization processes that uniquely identify all users and appropriately control access to high-risk systems.
4.3 Prohibit group or shared IDs, unless they are documented as Functional IDs. Where possible, individual accounts should be used to provide accountability for administrative changes. Additionally, non-privileged accounts or roles need to be used when accessing non-administrative functions.; Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: 4.6 Institutions must either adopt a plan to implement multi-factor authentication (MFA) that includes consideration of high-risk systems and user access privileges, or have MFA in place for such systems.
4.7 The functions of system administration, programming, processing/authorizing business transactions, and security administration must be segregated for high-risk systems. This provides for the appropriate separation of duties. If not possible, compensating controls must be established to mitigate the risk.
4.8 Third party and/or vendor access to high-risk systems must be approved and controlled by the department(s) that directly manage the system or software being accessed.; Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: Processes for creating and managing accounts including the process for obtaining users' agreement regarding the acceptable use policy
· Eligibility criteria for obtaining an account
· Processes for managing the retention of user account information"
1296,"Does the organization ensure that if systems or applications account for interactive login usage, they; are prevented unless required for an exceptional circumstance?",Yes,"Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: 4.4 For systems utilizing authentication, institutions must implement session locking after an institutionally defined period of inactivity and retain the session lock until access is reestablished using established authentication and authorization procedures.
4.5 Users must adhere to institutional password usage, construction, and change requirements. Systems must comply with EITHER (4.5.a or 4.5.b) AND (4.5.c) below:
a. Meet the eAuth guidelines as outlined in 800-63-3B Section 5.1.1.2 Memorized Secret Authenticators;; Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: 4.1 There must be documented procedures for creating, managing, and rescinding user accounts. At a minimum, these procedures should address:
· The eligibility criteria for obtaining an account
The processes for creating and managing accounts including the process for obtaining users' agreement regarding the acceptable use policy
· The processes for managing the retention of user account information
· The institution must, at least annually, audit user accounts with access to confidential data to confirm that the privileges granted to each user are appropriate.
All user account access to institutional information technology systems, including access for outside contractors, must be limited based on risk to the institution and the privileges needed to fulfill the institutional roles of the user
· As an individual's relationship to the institution changes, institutions must modify or remove access to systems and information as appropriate based on established processes.
4.2 Institutions must implement authentication and authorization processes that uniquely identify all users and appropriately control access to high-risk systems.
4.3 Prohibit group or shared IDs, unless they are documented as Functional IDs. Where possible, individual accounts should be used to provide accountability for administrative changes. Additionally, non-privileged accounts or roles need to be used when accessing non-administrative functions.; Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: Considering the diverse computing environments at USM institutions, the following password requirements are dependent upon operational capabilities of a particular system. Systems which cannot meet the password requirements below must have a risk assessment in place accepted by the institution and should have mitigating controls in place."
1297,Does the organization ensure accounts used by systems or applications for interactive login use are limited to the time needed for the exceptional circumstance?,Yes,"Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: 4.1 There must be documented procedures for creating, managing, and rescinding user accounts. At a minimum, these procedures should address:
· The eligibility criteria for obtaining an account
The processes for creating and managing accounts including the process for obtaining users' agreement regarding the acceptable use policy
· The processes for managing the retention of user account information
· The institution must, at least annually, audit user accounts with access to confidential data to confirm that the privileges granted to each user are appropriate.
All user account access to institutional information technology systems, including access for outside contractors, must be limited based on risk to the institution and the privileges needed to fulfill the institutional roles of the user
· As an individual's relationship to the institution changes, institutions must modify or remove access to systems and information as appropriate based on established processes.
4.2 Institutions must implement authentication and authorization processes that uniquely identify all users and appropriately control access to high-risk systems.
4.3 Prohibit group or shared IDs, unless they are documented as Functional IDs. Where possible, individual accounts should be used to provide accountability for administrative changes. Additionally, non-privileged accounts or roles need to be used when accessing non-administrative functions.; Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: Processes for creating and managing accounts including the process for obtaining users' agreement regarding the acceptable use policy
· Eligibility criteria for obtaining an account
· Processes for managing the retention of user account information; Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: 4.4 For systems utilizing authentication, institutions must implement session locking after an institutionally defined period of inactivity and retain the session lock until access is reestablished using established authentication and authorization procedures.
4.5 Users must adhere to institutional password usage, construction, and change requirements. Systems must comply with EITHER (4.5.a or 4.5.b) AND (4.5.c) below:
a. Meet the eAuth guidelines as outlined in 800-63-3B Section 5.1.1.2 Memorized Secret Authenticators;"
1298,Does the organization ensure accounts used by systems or applications for interactive login use have the appropriate business justification documentation?,Yes,"Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: 4.1 There must be documented procedures for creating, managing, and rescinding user accounts. At a minimum, these procedures should address:
· The eligibility criteria for obtaining an account
The processes for creating and managing accounts including the process for obtaining users' agreement regarding the acceptable use policy
· The processes for managing the retention of user account information
· The institution must, at least annually, audit user accounts with access to confidential data to confirm that the privileges granted to each user are appropriate.
All user account access to institutional information technology systems, including access for outside contractors, must be limited based on risk to the institution and the privileges needed to fulfill the institutional roles of the user
· As an individual's relationship to the institution changes, institutions must modify or remove access to systems and information as appropriate based on established processes.
4.2 Institutions must implement authentication and authorization processes that uniquely identify all users and appropriately control access to high-risk systems.
4.3 Prohibit group or shared IDs, unless they are documented as Functional IDs. Where possible, individual accounts should be used to provide accountability for administrative changes. Additionally, non-privileged accounts or roles need to be used when accessing non-administrative functions.; Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: Processes for creating and managing accounts including the process for obtaining users' agreement regarding the acceptable use policy
· Eligibility criteria for obtaining an account
· Processes for managing the retention of user account information; Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: 4.4 For systems utilizing authentication, institutions must implement session locking after an institutionally defined period of inactivity and retain the session lock until access is reestablished using established authentication and authorization procedures.
4.5 Users must adhere to institutional password usage, construction, and change requirements. Systems must comply with EITHER (4.5.a or 4.5.b) AND (4.5.c) below:
a. Meet the eAuth guidelines as outlined in 800-63-3B Section 5.1.1.2 Memorized Secret Authenticators;"
1299,Does the organization ensure accounts used by systems or applications with interactive login use have explicit management approval?,Yes,"Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: Processes for creating and managing accounts including the process for obtaining users' agreement regarding the acceptable use policy
· Eligibility criteria for obtaining an account
· Processes for managing the retention of user account information; Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: 4.1 There must be documented procedures for creating, managing, and rescinding user accounts. At a minimum, these procedures should address:
· The eligibility criteria for obtaining an account
The processes for creating and managing accounts including the process for obtaining users' agreement regarding the acceptable use policy
· The processes for managing the retention of user account information
· The institution must, at least annually, audit user accounts with access to confidential data to confirm that the privileges granted to each user are appropriate.
All user account access to institutional information technology systems, including access for outside contractors, must be limited based on risk to the institution and the privileges needed to fulfill the institutional roles of the user
· As an individual's relationship to the institution changes, institutions must modify or remove access to systems and information as appropriate based on established processes.
4.2 Institutions must implement authentication and authorization processes that uniquely identify all users and appropriately control access to high-risk systems.
4.3 Prohibit group or shared IDs, unless they are documented as Functional IDs. Where possible, individual accounts should be used to provide accountability for administrative changes. Additionally, non-privileged accounts or roles need to be used when accessing non-administrative functions.; Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: 4.4 For systems utilizing authentication, institutions must implement session locking after an institutionally defined period of inactivity and retain the session lock until access is reestablished using established authentication and authorization procedures.
4.5 Users must adhere to institutional password usage, construction, and change requirements. Systems must comply with EITHER (4.5.a or 4.5.b) AND (4.5.c) below:
a. Meet the eAuth guidelines as outlined in 800-63-3B Section 5.1.1.2 Memorized Secret Authenticators;"
