SIG Question,Response,Additional Information
"Does the organization evaluate the ownership structure, (e.g., public private, foreign, domestic) and confirm the legal authority to perform the task?",Yes,
Does the organization have a process for identifying potential legal sanctions by the Office of Foreign Assets Control against the third party or any owners?,Yes,
"Does the organization's due diligence process include assessing a subcontractor's performance of activities related to its policies, expectations, and adherence to those activities in compliance with all applicable laws and regulations safely and soundly?",Yes,
Does the organization have a procedure to assess its responsiveness to compliance concerns raised by regulatory bodies?,Yes,
Does the organization have a process to determine if it can identify and mitigate areas of potential consumer harm?,Yes,
"Is there a protocol in place for assessing a third party's available resources, past experience in carrying out the task, and track record in resolving customer complaints or legal issues, including their outcomes?",Yes,
Have there been any noticeable changes in the activities or business model provided by the third party?,No,
"Does the organization's due diligence process include evaluation the third party's websites, marketing materials, and other information related to its products or services to ascertain if statements and assertions accurately represent the activities and capabilities of the third party?",Yes,
"Is there a process in place to conduct periodical background checks on personnel and contractors who have access to IT systems, confidential information, or do not meet suitability requirements within the organization?",Yes,
"Is training provided to employees on their obligations, laws, and potential risk to the organization?",Yes,
Is succession and redundancy planning for key personnel evaluated by the organization?,Yes,
Does the organization have measures to hold employees accountable if they breach policies and procedures?,Yes,
"Does the organization assess governance processes, such as the establishment of clear roles, responsibilities, and segregation of duties about the activity?",Yes,
"Does the organization evaluate procedures for escalating, remedying, and holding management responsible for issues that are discovered during audits, internal compliance reviews, or other independent tests?",Yes,
"Does the organization evaluate if its third party presents any gaps that present a risk to its organization or its customers and consider the extent to which the third party applies controls to limit access to the organization's data and transactions, such as multifactor authentication, end-to-end encryption, and secure source code management?",Yes,
"Does the organization performing its due diligence to evaluate whether the third party keeps informed of and has sufficient experience in identifying, assessing, and mitigating known and emerging threats and vulnerabilities?",Yes,
"Does the organization performing its due diligence assess the third party's data, infrastructure and application security programs, including the software development life cycle and results of vulnerability and penetration tests?",Yes,
Does the organization evaluate the third party's implementation of effective and sustainable corrective actions to address any deficiencies discovered during testing?,Yes,
"Does the organization review information systems to identify gaps in service level expectations, business processes and management, and interoperability issues?",Yes,
Does the organization review its processes for maintaining a timely and accurate inventory of its technology and contractor(s)?,Yes,
Does the organization assess performance of information systems?,Yes,
"Does the organization evaluate the operational resilience and business continuity testing and performance of its third parties, and analyze their capabilities during actual disruptions, to gain insights into their resilience capabilities?",Yes,
"Does the organization evaluate the telecommunications redundancy and resilience plans of third parties to ensure that they maintain adequate operational resilience and cybersecurity practices, including disaster recovery and business continuity plans?",Yes,
"Does the organization evaluate its third parties preparation plans for known and emerging threats and vulnerabilities (e.g., wide-scale natural disasters, pandemics, distributed denial of service attacks, or other intentional or unintentional events)?",Yes,
"Does the organization evaluate dependency on a single provider for multiple activities to ensure that they maintain adequate operational resilience and cybersecurity practices, including disaster recovery and business continuity plans?",Yes,
"Does the organization evaluate interoperability or potential end-of-life issues related to software programming languages, computer platforms, and data storage technologies used by third parties to ensure that they maintain adequate operational resilience and cybersecurity practices, including disaster recovery and business continuity plans?",Yes,
"Does the organization review and confirm whether there are documented processes, timelines, and accountability for identifying, reporting, investigating, and escalating incidents that the third party's escalation and notification processes meet the organization's expectations and regulatory requirements?",Yes,
"Does the organization ensure that their third parties have proper physical and environmental controls in place to protect employees, customers, facilities, technology systems, and data (e.g., reviewing the third party's employee on- and off-boarding procedures to manage physical access rights effectively)?",Yes,
Does the organization's assessment of the third parties consider the volume and types of subcontracted activities and the degree to which the third party relies on subcontractors to inform whether such subcontracting arrangements pose an additional or heightened risk to its organization?,Yes,
Does the organization's assessment of third parties include evaluating risk presented by the geographic location of a subcontractor or dependency on a single provider for multiple activities?,Yes,
Does the organization evaluate whether the third party has existing insurance coverage?,No,We require all third-party vendors to maintain adequate insurance coverage to protect against potential risks and liabilities. This is a standard practice in our industry and is essential for ensuring the security and integrity of our systems.
"Does the organization in negotiations have a process to request modifications, additional contract provisions, or addendums to satisfy its needs, including when it has limited negotiating power?",Yes,
"Does the organization have a process that should the contract be unacceptable for the organization to consider other approaches, such as employing other third parties or conducting the activity in-house?",Yes,
"Does the organization have a process to evaluate and understand the benefits and risks with engaging third parties, particularly before executing contracts involving higher-risk activities, including critical activities?",Yes,
Does the organization ensure legal counsel is engaged as warranted prior to finalization of agreements?,Yes,
Does the organization conduct periodic reviews of executed contracts to allow itself to confirm that existing provisions continue to address pertinent risk controls and legal protections?,Yes,
Does the organization have a process to consider renegotiating a contract should new risks are identified?,Yes,
"Do contracts clearly state the nature, business purpose, and duration of the agreement, along with the type of personal information or categories of data subjects that will be included in the services?",Yes,
"Are ancillary services, such as software or technology support, maintenance, and customer service, included in all contractual agreements?",Yes,
Do contractual agreements specifically outline the tasks that the third party will perform?,Yes,
"Does the contract specify terms governing the use of information, facilities, and equipment, as well as access to customer information?",Yes,
Do contracts specify the responsibility and reporting structure for instances where dual employees will be utilized?,Yes,
Do contractual agreements include provisions that outline how changes in the business or other circumstances may impact third party termination rights?,Yes,
"Do contractual agreements address the third party's obligation to retain and provision of timely, accurate, and comprehensive information to allow the organization to monitor risks and performance and to comply with applicable laws and regulations?",Yes,
Does the contractual agreement guarantee the organization's ability to access its data in an appropriate and timely manner?,Yes,
Does the contractual agreement identify the outsourcer's access to and use of the third party's data and any supporting documentation related to the business arrangement?,Yes,
"Do contractual agreements specify whether third parties are permitted to resell, assign, or permit access to customer data, or the outsourcer's data, metadata, and systems, to other entities?",Yes,
"Does the contractual agreement require notice to the outsourcer whenever compliance lapses, enforcement actions, regulatory proceedings, or other events pose a significant risk to the outsourcer or its customers?",Yes,
"Do contractual agreements require notification of significant strategic or organizational changes at the third party (including mergers, acquisitions, divestitures, use of subcontractors, key personnel changes, or other business initiatives that could affect the contracted activities?",Yes,
"Does the contractual agreement specify the types and frequency of audit reports the outsourcer is entitled to receive from the third party (for example, SOC reports, Payment Card Industry (PCI) compliance reports, or other financial and operational reviews) and also reserve the outsourcer's right to conduct its own audits of the third party's activities or to engage an independent party to perform such audits?",Yes,
Does the contractual agreement specify the obligations of the third party and the outsourcer's obligation to comply with applicable laws and regulations?,Yes,
Does the contractual agreement specify the outsourcer's right to monitor and be informed about the third party's compliance with applicable laws and regulations?,Yes,
Does the contractual agreement require timely remediation in case of any issues affecting the involved parties?,Yes,
"Do contractual agreements include a detailed description of compensation and fees in the agreement, including cost schedules, calculations for base services, fees based on the volume of activity, and fees for special requests?",Yes,
"Do contractual agreements specify the circumstances under which cost structures can be altered, including any restrictions on raising costs?",Yes,
Is there any inclusion of incentives in contracts?,No,
"Do contractual agreements contain any language that identifies upfront or termination fees, or provisions that require reimbursement to the third party?",Yes,
"Where applicable, does the contract specify the cost and responsibility for purchasing and maintaining hardware and software?",Yes,
"Do contractual agreements include to what extent the organization's information, technology, or intellectual property can be used?",Yes,
Do the contractual agreements include provisions regarding warranties for the acquisition of licenses or subscriptions to use intellectual properties developed by other third parties?,Yes,
Does the contractual agreement have a clause that forbids the use or disclosure of customer information?,Yes,
"Where applicable, if PII is received does the contractual agreement include provisions that require adequate security measures to be established and upheld in compliance with relevant laws and regulations?",Yes,
Does the contractual agreement outline how and when information security breaches and/or unauthorized access will be reported?,Yes,
"Does the contractual agreement state the responsibility for implementing necessary controls to ensure operational resilience (e.g., protecting and storing programs, backing up datasets, and addressing cybersecurity concerns)?",Yes,
Does the contractual agreement state that operating procedures must be provided in the event business continuity plans are implemented including specific recovery time and recovery point objectives?,Yes,
Does the contractual agreement specify how frequently both parties can perform joint testing of the business continuity plan?,Yes,
"Does the contractual agreement provide for the transfer of accounts, data, or activities to another entity without penalty in the event of bankruptcy, business failure, or business interruption?",Yes,
Does the contractual agreement clearly outline the extent of liability and reimbursement for damages in the case of failure to uphold the terms of the contract?,Yes,
Does the contractual agreement specify types and amounts of insurance that are required to be maintained?,Yes,
Does the contractual agreement specify a requirement to notify the organization of any significant changes to insurance coverage?,Yes,
Does the contractual agreement require evidence of insurance coverage to be provided?,Yes,
Does the contractual agreement have a dispute resolution process that specifies a timeframe for resolving disputes?,Yes,"While our contractual agreement does have a dispute resolution process, it does not specify a timeframe for resolving disputes, which could lead to delays and uncertainty in resolving issues."
Does the contractual agreement include a provision indicating which party is responsible for addressing customer complaints and inquiries?,Yes,
Does the contractual agreement have a provision that specifies the deadline for reporting customer complaints and inquiries?,Yes,
Does the contractual agreement have a provision for the organization to be notified of subcontractor usage and any restrictions on such usage?,Yes,
"Does the contractual agreement prohibit the transfer, assignment, or subcontracting of obligations to another entity without obtaining consent?",Yes,
"Does the contractual agreement clearly outline responsibilities to report on the adherence to performance measures, audit results, and compliance with laws and regulations?",Yes,
Do contractual agreements specify the liability for activities or actions performed by subcontractors?,Yes,
Does the contractual agreement have language that permits termination without penalty if subcontracting arrangements do not adhere to the contractual obligations?,Yes,
"Does the contractual agreement specify if there is a particular jurisdiction for resolving disputes, and if so, is this jurisdiction based on the laws of a single region?",Yes,
Do contractual agreements include termination and notification requirements?,Yes,
"Do contractual agreements include the return or destruction of the other party's data, information, and resources after the contract has ended or been terminated requirements?",Yes,
"Do contractual agreements assign all costs and responsibilities related to the transition, termination, or default of the contract?",Yes,
Do contractual agreements enable termination of the relationship with reasonable notice and without penalty if directed by a regulator?,Yes,
Do contractual agreements specify that performance and activities may be subject to regulatory examination and oversight?,Yes,
Do contractual agreements include document retention guidelines?,Yes,
"Is there a system for escalating important issues or concerns such as repeated audit findings, financial instability, security breaches, data loss, service interruptions, compliance issues, or other signs of heightened risk?",Yes,
Does the organization have existing policies and procedures that mandate routine testing of its controls for managing risks?,Yes,
Does the organization have regularly scheduled reviews of the third-party's reports to evaluate the performance and effectiveness of their controls?,No,
Does the organization have periodic visits and meetings to discuss performance and operational issues with the third-party?,Yes,
Does the organization regularly test its controls for managing risks?,Yes,
"Does the organization periodically review the overall effectiveness of relationships, to ensure alignment with strategic goals, business objectives, risk appetite, risk profile, and broader corporate policies?",Yes,
Does the organization monitor changes to the third-party's strategy and its agreements with other entities that may impact it's ability to meet contractual obligations?,Yes,
Does the organization have policies or mechanisms to monitor and address critical changes in an entity's financial situation and keep track of any changes or gaps in insurance coverage?,Yes,
"Does the organization utilize relevant audits, test results, and other reports to assess whether its partners are capable of managing risks and fulfilling contractual obligations and regulatory mandates?",Yes,
Does the organization ensure that ongoing compliance with applicable laws and regulations and its performance are measured against contractual obligations including changes in the third party's key personnel?,Yes,
"Does the organization monitor the third party's reliance on its use of subcontractors, the location of subcontractors, and management processes for monitoring subcontractors?",No,
Does the organization have policies or mechanisms in place to ensure that ongoing training is provided to employees?,Yes,
"Is there a system to monitor response to new threats, vulnerabilities, and incidents that may impact operations?",Yes,
"Does the organization have processes and mechanisms to measure the confidentiality, availability, and integrity of the systems, data, and information belonging to the other party?",Yes,
Is there a system in place to assess how vendors handle incidents and their plans for business continuity and resumption?,Yes,
"Are there policies, procedures, or mechanisms in place to keep track of external factors and conditions that might impact overall performance (e.g., financial or operational factors)?",Yes,
"Are there policies, procedures or mechanisms in place to keep track of the amount, type, and pattern of customer complaints, as well as the effectiveness of responses (if they are responsible for handling customer inquiries)?",Yes,
Does the organization have processes and mechanisms for a smooth transition of services when a contract is terminated?,Yes,
In termination of contracts are there resources available to continue managing daily operations and other impacts that may arise during the transition of activity being completed?,Yes,
Does the organization have processes and mechanisms to determine what costs and fees are involved in terminating a contract?,Yes,
"Does the organization have policies or procedures to manage the risks related to data retention and destruction, information system connections and access control, or other control concerns that need additional monitoring and risk management once a relationship has ended?",Yes,
Does the organization have policies and procedures in place for managing joint intellectual property when a relationship is terminated?,Yes,
"Is there a plan for mitigating risks to the organization, as well as any potential impact on customers, if termination of the contract occurs due to failure to meet expectations?",No,
Does the board or a designated committee of the organization manage its third parties in a manner consistent with its strategic goals and overall risk appetite in compliance with applicable laws and regulations?,Yes,
"Does the board or a designated committee have processes or mechanisms to effectively and periodically report on the organization's third-party relations such as management's planning, due diligence, contract negotiation, and ongoing monitoring of activities?",Yes,
"Does the board or a designated committee have processes or mechanisms to take appropriate actions as a part of its oversight responsibilities to remedy significant deterioration in performance or address changing risks of material issues identified, including ongoing monitoring and independent reviews?",Yes,
Does the board or a designated committee have policies or mechanisms to integrate third-party risk management with the organization's overall risk management processes?,Yes,
"Does the board or a designated committee have policies or mechanisms where it directs the planning, due diligence, and ongoing monitoring of the third party's activities?",Yes,
Does the board or a designated committee receive regular reports on risk management activities?,Yes,
"Is it the board's or designated committee's responsibility to review, approve and execute all contracts?",Yes,
"Does the board or a designated committee have policies, procedures, or mechanisms to evaluate if the compliance management system is suitable for the relationship in terms of nature, size, complexity, and scope?",Yes,
"Does the board or a designated committee have policies, procedures, or mechanisms to ensure there is appropriate access to data and information from the source?",Yes,
Does the board or a designated committee have policies or mechanisms in place where significant issues that result in remediation are escalated as well as the actions of the issues?,Yes,
"Does the board or a designated committee have established policies and procedures for ending business relationships if they fail to meet expectations or no longer align with the organization's strategic goals, objectives, or risk tolerance?",No,"Our board has a dedicated committee that regularly reviews our vendor relationships. If a vendor fails to meet our expectations or no longer aligns with our strategic goals, we have a well-defined process in place to terminate the relationship, ensuring minimal disruption to our operations."
"Does the organization have processes and mechanisms to conduct periodic independent reviews to access the adequacy of its third-party risk management processes to assess if the third-party relationships align with the organization's business strategy, internal policies, procedures, and standards?",Yes,
"Does the organization have policies, procedures or mechanisms to identify, measure and monitor risks on an ongoing basis as well as conduct periodic independent reviews to assess the adequacy of its risk management processes?",Yes,
Does the organization have policies or mechanisms in place to ensure that its processes and controls are appropriately designed and functioning effectively as well as conduct periodic independent reviews to assess the adequacy of its risk management processes?,Yes,
Does the organization have policies or mechanisms to ensure that proper staffing and expertise are utilized for risk management activities during the entire risk management cycle as well as conduct periodic independent reviews to assess the adequacy of its risk management processes?,Yes,
"Does the organization have policies or mechanisms to identify any conflicts of interest or potential conflicts of interest when choosing or supervising entities, and is there a set of guidelines and regulations for this system?",Yes,
Does the organization conduct routine due diligence on all relevant entities to ensure they comply with the organization's requirements?,Yes,
Does the organization as part of its documentation and reporting of its relationships view supporting details from its executed contracts?,Yes,
Does the organization document remediation plans and reports that address the quality and sustainability of the controls of entities?,Yes,
Does the organization as part of ongoing monitoring require submission of risk and performance reports?,Yes,
"Where applicable, does the organization require risk and performance reports related to customer complaints and inquiries?",Yes,
"Does the organization's documentation reports include service disruptions, security breaches or other events that may pose a material risk to the organization?",Yes,
Does the organization require the results of independent reviews to be published?,No,
Does the organization have policies and procedures that mandate reporting to the board or relevant committee regarding the outcomes of utilizing a single provider for various activities?,Yes,
"Do desktops, laptops, tablets, or smartphones transmit, process, or store Scoped data?",No,
Does the organization's build and hardening standards criteria deploy endpoint security features to secure and prevent cybercriminals from gaining access to their network?,Yes,
Are constituents allowed to utilize mobile devices within the organization's environment?,No,
Is there a mobile device management program in place that has been approved by management and communicated to appropriate constituents?,Yes,
Can constituents access corporate e-mail using mobile devices?,No,"While we do not currently offer mobile access to corporate email, we are in the process of implementing a solution that will allow our employees to access their email securely from their mobile devices."
Are non-company managed computing devices used to connect to the company network?,No,
Are any mobile devices with access to scoped data Constituent owned (BYOD)?,No,
"Does the organization protect the confidentiality, integrity, availability, and safety of endpoint devices?",Yes,
Does the organization have a procedure to address incidents of theft or loss of endpoint devices?,Yes,
Are there end user device security configuration standards?,Yes,
"Is the security configuration of end user devices reviewed and updated at least once a year to account for changes in the environment, such as changes to devices, security features, capacity, infrastructure, and best practices?",Yes,
Are end user device security reviews performed to validate compliance with documented standards?,Yes,
Are defined procedures in place to identify and correct systems without anti-virus at least weekly for all end user devices?,Yes,
Are mobile devices evaluated as part of the IT Risk Management program?,Yes,
"Can constituents access, view, store and connect to scoped data/systems using mobile devices?",No,
"Is a technical solution in place to enforce mobile device security requirements e.g., PIN, encryption, remote wipe, etc.?",Yes,
Prior to device on-boarding are constituents required to sign a legal agreement which details the obligations and rights related to mobile devices?,Yes,
Does the mobile device user agreement include the owner of data on the mobile device?,Yes,
Does the mobile device user agreement include the user's responsibility in ensuring the security of the mobile device?,Yes,
Does the mobile device user agreement include the security requirements for scoped systems and data will override user's personal use?,Yes,
Does the mobile device user agreement include the support roles and responsibilities?,Yes,
Is there a process or procedure for responding to mobile device data compromise events?,No,
Does the mobile device incident response process or procedure include remotely wiping the mobile device?,Yes,
Does the mobile device incident response process or procedure include remotely accessing scoped data on the mobile?,No,
Does the mobile device incident response process or procedure include physically accessing scoped data on the mobile device?,No,
Does the mobile device incident response process or procedure include performing a forensic analysis on the mobile device?,Yes,
Is there a list of mobile devices each Constituent is permitted to connect to scoped systems and data?,No,
"Is there an approved process for IT to offboard mobile devices when a Constituent terminates, or requests to on-board a new mobile device?",Yes,
Does the mobile device offboarding process identify if the Constituent has any legacy devices accessing scoped systems and data?,No,
"Does the mobile device offboarding process confirm that scoped data, settings, and accounts have been removed from the legacy mobile device?",Yes,
Is the identity management system (directory services) integrated with mobile infrastructure to support people joining/leaving/changing roles in the enterprise?,Yes,
Are mobile operating system versions that are deemed end of life permitted to connect to scoped systems and data?,No,
"Are all unnecessary/unused services uninstalled or disabled for end user devices used for accessing, transmitting, processing, or storing scoped data on end user devices?",Yes,
Are all available high-risk security patches applied and verified at least monthly on all end-user devices?,Yes,
Are end user device operating system versions that no longer have patches released prohibited?,Yes,
Are anti-malware software version and engine upgrade deployment failures reviewed at least weekly for all end user devices?,Yes,
Are periodic configuration reviews performed at least quarterly and when a change is made to anti-malware standards?,Yes,
Is there a requirement to physically secure end user systems when left unattended?,Yes,
Are there controls to protect scoped data stored on portable media or devices from unauthorized access?,Yes,
Is security approval required prior to implementing non-standard computing devices operating equipment?,Yes,
Is security approval required prior to implementing freeware or shareware applications on computing devices?,Yes,
"Is installation of software on company-owned equipment (e.g., workstations, mobile devices) restricted to administrators?",Yes,
"Is a Virtual Desktop Infrastructure used for accessing, transmitting, or processing Scoped Data?",Yes,
"Does the organization have policies, procedures, or mechanisms in place to protect assets outside of the organization's premises?",Yes,"While we do have policies and procedures in place to protect assets outside of our organization's premises, we rely heavily on our third-party vendors to implement and enforce these measures. Unfortunately, we cannot guarantee their compliance."
Is Mobile Device Management (MDM) technology used to manage company-owned BYOD mobile devices?,Yes,
Can constituents delete scoped data using mobile devices?,No,
Is Mobile Device Management (MDM) subject to an internal or external audit?,No,Our MDM system is subject to regular internal audits to ensure compliance with our security policies and industry best practices. We also engage external auditors to provide an objective assessment of our MDM system's effectiveness and security.
Are there approved mobile operating system versions for each type of device that are permitted to connect to the environment?,Yes,
Does the organization implement and execute build and hardening standards that detail security techniques today to prevent corruption of embedded technologies?,Yes,
Do Desktop controls employ minimal functionality and information storage from the device?,Yes,
Is the installation of software and firmware prevented unless signed using a certificate that is recognized and approved by the organization?,Yes,
Are all remote access and file sharing services configured to require authentication and encryption on end user devices?,Yes,
Are end user devices configured to lock screens after 15 minutes of inactivity?,Yes,
Are all end user device patching exceptions documented and approved by information security or senior management?,Yes,
"Are end user device operating system and application logs configured to provide sufficient detail to support incident investigation, including successful and failed login attempts and changes to sensitive configuration settings and files?",Yes,
Are activity alerts such as uncleaned infections and suspicious activity reviewed and actioned at least weekly for all end user devices?,Yes,
"Are application whitelisting, application blacklisting, or restriction of users' ability to install unapproved applications documented and used to prevent the installation of malicious software for all end user devices?",Yes,
Does the organization have a procedure to identify the types of websites to which personnel should or should not have access to?,No,
"Has the organization established rules for the safe and appropriate use of online resources, including any restriction to undesirable or inappropriate websites and web-based applications?",Yes,
Does the organization have a policy or procedure to train personnel on the secure and appropriate use of online resources?,Yes,
"Does the organization's training policy on accessing external websites include information about the organization's regulations, a contact point for reporting security concerns, and a process for requesting access to restricted web resources?",Yes,
"Is the organization's training policy regarding accessing external websites clear about not disregarding any browser warnings that indicate a website is not secure, even if the user is given the option to proceed?",Yes,
"Do the organization's build and hardening criteria configure for disconnection if there is no end-user activity? (e.g., Forced-time out, Session-timeout, Idle session timeout)",No,"Our system is designed to automatically disconnect after a period of inactivity, ensuring that no unauthorized access can occur. This feature is crucial for maintaining the security of our users' data."
Does the organization establish parameters for the secure use of open source software?,Yes,
Is there a white list for web browsers and email client software to decrease security risk?,Yes,
Are end user device operating system executables/binaries stored on a separate drive from scoped data?,Yes,
"Are all patches, service packs, and hot fixes tested prior to deployment to end user devices?",Yes,
Are all vulnerabilities evaluated and prioritized for end user devices?,Yes,
Are all high-risk end user devices prioritized to receive patches first?,Yes,
Are all end user device patch successes and failures logged?,Yes,
Are third party alert services used to keep up to date with the latest vulnerabilities for all end user devices?,Yes,
Are end user device events relevant to supporting incident investigation retained for a minimum of one year?,Yes,
Are end user device system generated notifications generated in the event the system fails to write an event to an audit log?,Yes,
"Are end user device operating systems relevant to supporting incident investigation protected against modification, deletion, and/or inappropriate access?",Yes,
"Are constituents permitted to create and activate mobile hotspots e.g., Bring Your Own Network, (BYON)?",No,
"Does the organization disable or remove connection ports or input/output e.g., Universal Serial Bus (USB), Thunderbolt, and Firewire (IEEE 1394)?",Yes,
"Is remote activation of environmental sensing capabilities or sensors (e.g., microphones, cameras, Global Positioning System (GPS) mechanisms, and accelerometers) prohibited without an explicit indication of use to the end user?",Yes,
Is remote activation of environmental sensing capabilities on end user devices prohibited without explicit authorization?,Yes,
"Does the organization maintain policies and procedures for the access to and the usage of collaborative computing devices or applications e.g., networked white boards, cameras, and microphones?",Yes,
"Does the organization use authorized devices for collaboration on sensitive data, and is remote activation not allowed without consent?",Yes,
"Does the organization unplug or prohibit the remote activation of collaborative computing devices with the following exceptions: networked whiteboards, video teleconference cameras, and teleconference microphones?",Yes,
Does the organization prohibit remote activation of collaborative computing devices or applications without explicit indication of the user being physically present?,No,
Are cloud hosting staff technically prevented from accessing the administrative environment via non-managed private devices?,No,
Are cloud hosting staff technically prevented from using non-managed private devices to log into administrative shell or UI credentials from within the Service Provider network?,Yes,
Are cloud hosting staff technically prevented from using non-managed private devices to log into standard shell or UI credentials from within the Service Provider network via non-managed private devices?,Yes,
Are cloud hosting staff technically prevented from using non-managed private devices to log into administrative shell or UI credentials from outside the Service Provider network via non-managed private devices?,Yes,
Are cloud hosting staff technically prevented from using non-managed private devices to log into standard shell or UI credentials from outside the Service Provider network using non-managed private devices?,Yes,
Does the organization build and maintain a secure network and systems?,Yes,
Does the organization have processes and mechanisms that are defined and understood for installing and maintaining network security controls?,Yes,
Are the security and operational procedures utilized for installing and maintaining network security controls kept up to date and known to all affected personnel?,Yes,
Does the organization have documentation that defines the roles and responsibilities of personnel assignments for processes and mechanisms to install and maintain network security controls to ensure they are understood?,Yes,
Does the organization have a process to configure and maintain network security controls?,Yes,
Does the organization execute all changes to network connections and configurations of Network Security Controls (NSCs) per the change control processes?,Yes,
Does the organization have defined configuration standards for network security controls (NSCs) rulesets it implements and maintains?,Yes,"While we do have defined configuration standards for our network security controls, we have recently experienced a high turnover rate in our IT department, which may have led to some inconsistencies in the implementation and maintenance of these standards."
"Does the organization have a Network Security Program with a defined policy that outlines security requirements, is reviewed regularly by an owner, and communicated to relevant parties?",Yes,
Are reviews performed to validate compliance with documented network device standards at least annually?,Yes,
Does the organization have a process to include Enterprise Architecture requirements in the design of the network?,Yes,
Does the organization maintain a current inventory of telecommunications hardware and software used in the network configuration?,Yes,
Does the organization maintain a current inventory of devices used in the network configuration?,Yes,
Does the organization maintain a standard configuration for network and/or telecommunications equipment?,Yes,
"Is there a process to map network components (e.g., ports, protocols, services) to the technology asset inventory for networked devices?",Yes,
"Is every connection to an external network terminated at a firewall e.g., the Internet, partner networks?",Yes,
Are network or security technologies used to establish and enforce security requirements and block unauthorized traffic between segregated systems and other networks and systems?,Yes,
"Are all firewall and other network Access Control List (ACL) rules reviewed and updated at least quarterly and include identification and removal of networks, sub networks, hosts, protocols, or ports no longer in use?",Yes,
"Does the organization have protocols to identify and continuously address people risk when internal personnel or contractors do not follow system usage procedures, practices, and rules, thus deviating from expected behavior in a way that could damage organizational performance and reputation?",Yes,
Do the network firewalls have rules that deny access unless explicitly allowed?,Yes,
Is there a separate network segment or dedicated endpoints for remote access to internal networks?,Yes,
"Do all network segmentation and segregation technologies enforce the principles of least privilege, need-to-know, and whitelisting rather than blacklisting?",Yes,
Is logical network separation of segregated networks enforced using firewalls?,Yes,
Is logical network separation of segregated networks enforced using Virtual LANs (VLANs) or Security Groups?,Yes,
Is logical network separation of segregated networks enforced using Virtual Private Networks (VPNs)?,Yes,
Is logical network separation of segregated networks enforced using unidirectional gateways that separate networks using data diodes?,Yes,
Is physical network separation enforced to completely prevent any interconnectivity of traffic to and from segregated networks?,Yes,
"Do all network segmentation and segregation technologies enforce policy at each network layer from the data layer up through the application layer? If no, please identify exceptions in the additional information field.",Yes,
"Are all network devices patched with all, available high-risk security patches applied and verified?",Yes,
"Does network device patching include testing of patches, service packs, and hot fixes prior to installation?",Yes,
Does network device patching include evaluation and prioritization of vulnerabilities?,Yes,
Does network device patching include priority patching of high-risk systems first?,Yes,
Does network device patching include logging of patch successes and failures?,No,
"Are all network device patching exceptions necessary, documented, and approved by Information Security?",Yes,
Has management approved a policy for remote access to scoped systems and data communicated to constituents?,Yes,
Are encrypted communications required for all remote network connections from external networks to networks containing scoped systems and data?,Yes,
"Is remote administration of organizational assets approved, logged, and performed in a manner that prevents unauthorized access?",Yes,
Are Split Tunneling and Bridged Internet Connections while remotely connected to the company network prohibited by policy and/or technical control?,Yes,
Is multi-factor authentication required for all remote network connections from external networks to networks containing scoped systems and data?,Yes,
Is remote access and communication paths of access monitored?,Yes,
Is multi-factor authentication required for remote administrative system access (shell or UI)?,Yes,
Is only organization-owned equipment permitted to connect from external networks to networks containing scoped systems and data?,Yes,
"Are Network Intrusion Detection/Prevention Systems (NIDS/NIPS) employed e.g., appliances, software, etc.?",Yes,
"Are Network Intrusion Detection signatures updated on a periodic basis? If yes, provide the frequency in the Additional Information field.",No,
Is the interval between the availability of a new Network IDS/IPS signature update and its deployment in 'Detect' mode no longer than 24 hours?,Yes,
Is there Network IDS/IPS monitoring and alert escalation to security incident response personnel 24x7x365?,Yes,
Are Intrusion Prevention signatures intended for blocking traffic thoroughly tested for false positives before being put into 'Block' mode?,No,
Do Network IDS/IPS capabilities include configuration to send alerts to security personnel when the volume or combination of security events indicate a likely security incident or compromise?,Yes,
Is there a review and correction of Network IDS/IPS false positives at least weekly?,Yes,
Are Network IDS/IPS events sent to a central logging system or SIEM?,Yes,
"Is there an DMZ environment within the network that transmits, processes, or stores scoped systems and data e.g., web servers, DNS, directory services, remote access, etc.?",Yes,
Are DMZ environments divided into isolated DMZ network segments for devices that initiate outbound traffic to the Internet and those that only receive inbound traffic?,Yes,
Are DMZ environments divided into isolated application and database network segments for internet-facing webpages or other applications with an internet presence?,Yes,
Do all systems that need to be accessed from both segregated and non-segregated networks reside in a separate DMZ network segment?,Yes,
"Is there a wireless policy or program that has been approved by management, communicated to appropriate constituents and has an owner to maintain, and review the policy?",Yes,
Does the organization have a policy to ensure that guests who use the organization's WIFI follow the same or even stricter procedures as the personnel?,Yes,
Are the perimeters of each domain clearly defined on separate networks?,No,"Our network architecture is designed with strict segmentation, ensuring that each domain is isolated on its own network. This isolates potential threats and enhances overall security."
"Are the networks segmented into domains based on an evaluation of the security requirements for each domain, and is access permitted through gateways according to those criteria?",Yes,
